Id,Category
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
